author;title;state;district;type;date;subjects;description
Hosseini, Khaled;The Kite Runner;Iowa;Norwalk Community School District;Banned pending investigation;Oct.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Ogden Community Schools;Banned pending investigation;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Ottumwa Community School District;Banned;Jan.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Ridge View Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Roland-Story Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Rudd-Rockford-Marble Rock Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Saydel Community School District;Banned;Oct.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Shenandoah Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Sioux Center Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;South Hamilton Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;South Tama County Community School District;Banned;Dec.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Southeast Polk Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Spencer Community School District;Banned pending investigation;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Spirit Lake Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;St. Ansgar Community School District;Banned;Oct.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Tripoli Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Twin Cedars Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Urbandale Community School District;Banned;Aug.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Van Buren County Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Van Meter Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Waterloo Community School District;Banned pending investigation;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;West Marshall Community School District;Banned;Jun.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Iowa;Winterset Community School District;Banned;Oct.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Maine;Hermon School Department;Banned by restriction;Aug.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Maryland;Caroll County School District;Banned pending investigation;Aug.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Missouri;Cameron R-1 School District;Banned by restriction;Feb.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;North Carolina;Moore County Schools;Banned by restriction;Jan.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;South Carolina;Spartanburg County School District One;Banned;Feb.24;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Texas;Conroe Independent School District;Banned;Aug.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Wisconsin;Elkhorn Area School District;Banned pending investigation;Nov.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Wisconsin;Howard-Suamic School District;Banned;Nov.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner;Wisconsin;Menomonee Falls Schools;Banned;Oct.23;Fiction;"The #1 New York Times bestselling novel beloved by millions of readers the world over.<br/><br/>“A vivid and engaging story that reminds us how long his people [of Afghanistan] have been struggling to triumph over the forces of violence—forces that continue to threaten them even today."" –New York Times Book Review<br/><br/>The unforgettable, heartbreaking story of the unlikely friendship between a wealthy boy and the son of his father’s servant, caught in the tragic sweep of history, The Kite Runner transports readers to Afghanistan at a tense and crucial moment of change and destruction. A powerful story of friendship, it is also about the power of reading, the price of betrayal, and the possibility of redemption; and an exploration of the power of fathers over sons—their love, their sacrifices, their lies.<br/><br/>Since its publication in 2003 Kite Runner has become a beloved, one-of-a-kind classic of contemporary literature, touching millions of readers, and launching the career of one of America's most treasured writers."
Hosseini, Khaled;The Kite Runner Graphic Novel;Alaska;Matanuska-Susitna Borough School District;Banned pending investigation;Sep.23;Social Classes;The perennial bestseller-now available as a sensational new graphic novel.<br/>Since its publication in 2003, nearly 7 million readers have discovered The Kite Runner. Through Khaled Hosseini's brilliant writing, a previously unknown part of the world was brought to vivid life for readers. Now, in this beautifully illustrated graphic novel adaptation, Hosseini brings his compelling story to a new generation of readers.
Hosseini, Khaled;The Kite Runner Graphic Novel;Florida;Collier County Public Schools;Banned;Oct.23;Social Classes;The perennial bestseller-now available as a sensational new graphic novel.<br/>Since its publication in 2003, nearly 7 million readers have discovered The Kite Runner. Through Khaled Hosseini's brilliant writing, a previously unknown part of the world was brought to vivid life for readers. Now, in this beautifully illustrated graphic novel adaptation, Hosseini brings his compelling story to a new generation of readers.
Hosseini, Khaled;The Kite Runner Graphic Novel;Florida;Volusia County Schools;Banned;Sep.23;Social Classes;The perennial bestseller-now available as a sensational new graphic novel.<br/>Since its publication in 2003, nearly 7 million readers have discovered The Kite Runner. Through Khaled Hosseini's brilliant writing, a previously unknown part of the world was brought to vivid life for readers. Now, in this beautifully illustrated graphic novel adaptation, Hosseini brings his compelling story to a new generation of readers.
Houck, Colleen;Reawakened;Florida;Escambia County Public Schools;Banned pending investigation;Aug.23;Romance;"A New York Times Bestseller!    From Colleen Houck, New York Times bestselling author of The Tiger’s Curse, comes an epic Egyptian-inspired adventure about two star-crossed teens who must battle mythical forces and ancient curses on a journey with more twists and turns than the Nile itself!      When seventeen-year-old Lilliana Young enters the Metropolitan Museum of Art one morning during spring break, the last thing she expects to find is a live Egyptian prince with godlike powers, who has been reawakened after a thousand years of mummification.    And she really can’t imagine being chosen to aid him in an epic quest that will lead them across the globe.    But fate has taken hold of Lily, and she, along with her sun prince, Amon, must travel to the Valley of the Kings, raise his brothers, and stop an evil, shape-shifting god named Seth from taking over the world. And don't miss new adventures with Lily in the rest of the Reawakened series: Recreated and Reunited!   Praise for the Reawakened Series: ""[A] must-read for thrill-seekers and fans of alternate worlds.""—RT Book Reviews ""Rick Riordan fans who are looking for another series will delight in this fantasy.""—SLJ ""Wonderfully written and…the heart-pounding adventures are topped only by the heart-melting romance.""—The Deseret News   ""A sparkling new novel with a fully imagined world and mythos, and crackling romance! Egyptian mythology has never been this riveting!""—Aprilynne Pike, #1 New York Times bestselling author of the Wings series, on Reawakened, book one in the series"
